gene,log2FoldChange,pvalue,negLog10p,padj,significant
Gene_000,0.663531348546401,1.6660013893085583e-06,5.778324640763091,0.00016660013893085582,False
Gene_001,0.6011324669390437,1.1604285175583068e-05,4.935381606941049,0.0011604285175583068,False
Gene_002,0.6401878488482491,4.6612656770382503e-07,6.331496142983867,4.6612656770382505e-05,False
Gene_003,0.47711699383478035,1.619670451224861e-06,5.790573340873273,0.0001619670451224861,False
Gene_004,0.38226504406138107,0.0006146020424128928,3.211406000852867,0.06146020424128928,False
Gene_005,0.6963200528278399,1.0255371692584287e-07,6.98904859457275,1.0255371692584288e-05,False
Gene_006,0.43057682733245706,0.0004670655443151713,3.3306221696758778,0.04670655443151713,False
Gene_007,0.45799830721098944,0.0001571984048308435,3.80355186527293,0.015719840483084353,False
Gene_008,0.5479172314987348,4.467521673772711e-06,5.349933331877257,0.0004467521673772711,False
Gene_009,0.48172977885763,1.1927918749757799e-05,4.923435327859222,0.0011927918749757799,False
Gene_010,-1.2320880205968276,1.86482551291505e-07,6.729361797808785,1.8648255129150497e-05,True
Gene_011,-1.0006734358445308,6.20839997026995e-08,7.2070203118391625,6.20839997026995e-06,True
Gene_012,-1.085504316749526,2.836838824752704e-08,7.547165337982413,2.836838824752704e-06,True
Gene_013,-0.8055123295103532,0.00010862754009481016,3.964060055088624,0.010862754009481015,False
Gene_014,-1.293542212854727,9.133031142810062e-08,7.039385061444667,9.133031142810062e-06,True
Gene_015,-1.2770583282505328,4.524336464829847e-06,5.344445105031875,0.0004524336464829847,True
Gene_016,-0.9704799239469315,6.9160873558463804e-06,5.1601395298685535,0.000691608735584638,False
Gene_017,-1.0997056746322544,2.6972578073885875e-07,6.569077541135081,2.6972578073885874e-05,True
Gene_018,-1.2324420011365969,6.611806544883386e-07,6.179679861954606,6.611806544883386e-05,True
Gene_019,-1.06922326617259,4.3641021459743257e-07,6.360105092888042,4.3641021459743255e-05,True
Gene_020,-0.09438779379969686,0.29566328262404534,0.5292026056188748,1.0,False
Gene_021,0.06415851129756867,0.6062236295291833,0.21736713960460416,1.0,False
Gene_022,-0.07576734030069243,0.32049259980255107,0.4941819939205802,1.0,False
Gene_023,-0.07900766372507295,0.2818575697128369,0.5499702970496861,1.0,False
Gene_024,0.04599736211417671,0.6024535655924681,0.22007642092587706,1.0,False
Gene_025,0.06312986742020987,0.5699135487468464,0.24419101827437323,1.0,False
Gene_026,-0.10744588028170288,0.23028327576368296,0.6377376013639726,1.0,False
Gene_027,-0.0589885077965584,0.5593599074379413,0.252308665248119,1.0,False
Gene_028,-0.1285202674071173,0.299152421463747,0.5241074774480846,1.0,False
Gene_029,0.09650427340727097,0.43824106926118533,0.3582869254568855,1.0,False
Gene_030,0.1311286310185822,0.30416718924288905,0.5168876354483288,1.0,False
Gene_031,0.06426139561018163,0.5439839874306985,0.26441388389159637,1.0,False
Gene_032,-0.012199357453459125,0.9199423729374799,0.03623937689261767,1.0,False
Gene_033,-0.2132909936366767,0.049351410682865485,1.3067004287485906,1.0,False
Gene_034,-0.018564635272355634,0.8607352876810511,0.06513039183971875,1.0,False
