,cluster
Gene_000,1
Gene_001,1
Gene_002,1
Gene_003,1
Gene_004,1
Gene_005,1
Gene_006,1
Gene_007,1
Gene_008,1
Gene_009,1
Gene_010,1
Gene_011,1
Gene_012,1
Gene_013,1
Gene_014,1
Gene_015,1
Gene_016,2
Gene_017,2
Gene_018,2
Gene_019,2
Gene_020,2
Gene_021,2
Gene_022,2
Gene_023,2
Gene_024,2
Gene_025,2
Gene_026,2
Gene_027,2
Gene_028,2
Gene_029,2
Gene_030,2
Gene_031,0
Gene_032,0
Gene_033,0
Gene_034,0
Gene_035,0
Gene_036,0
Gene_037,0
Gene_038,0
Gene_039,0
Gene_040,0
Gene_041,0
Gene_042,0
Gene_043,0
Gene_044,0
Gene_045,0
Gene_046,1
Gene_047,1
Gene_048,1
Gene_049,1
